"id","event","timestamp","participant"
"229","d2 | visible | q4","1719431332564","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"230","d2 | visible | q3","1719431368182","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"231","d2 | leave | text","1719431354124","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"232","d2 | invisible | q4","1719431339715","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"233","d2 | hover | text","1719431331350","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"234","d2 | invisible | q4","1719431331114","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"235","d1 | leave | text","1719431376087","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"236","d1 | hover | text","1719431372583","cGlsb3RfcGFydGVjaXBhbnRlXzM="
"237","d2 | invisible | q1","1719431376211","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"238","d2 | visible | q1","1719431372408","cGlsb3RfcGFydGVjaXBhbnRlXzI="
"239","d1 | invisible | q3","1719431414254","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"240","d1 | leave | text","1719431396436","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"241","d1 | visible | q1","1719431421071","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"242","d1 | invisible | q2","1719431414287","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"243","d1 | hover | q1","1719431402903","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"244","d1 | visible | q3","1719431402953","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"245","d1 | visible | q2","1719431414871","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"246","d1 | visible | q3","1719431405737","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"247","d1 | invisible | q2","1719431397804","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"248","d1 | visible | q1","1719431414837","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"249","d1 | visible | q1","1719431395920","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"250","d1 | visible | q2","1719431402904","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"251","d1 | invisible | q1","1719431405070","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"252","d1 | visible | q2","1719431395987","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"253","d1 | invisible | text","1719431402937","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"254","d1 | visible | q3","1719431421204","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"255","d1 | leave | q2","1719431403686","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"256","d1 | visible | q6","1719431405404","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"257","d1 | leave | text","1719431398392","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"258","d1 | visible | q4","1719431405054","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"259","d1 | question | q2 | 1","1719431449483","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"260","d1 | invisible | q3","1719431405421","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"261","d1 | invisible | q2","1719431393320","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"262","d1 | visible | q2","1719431405754","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"263","d1 | visible | q5","1719431405121","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"264","d1 | invisible | q2","1719431405120","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"265","d1 | visible | text","1719431414255","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"266","d1 | visible | q3","1719431414921","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"267","d1 | leave | text","1719431402903","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"268","d1 | visible | text","1719431417271","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"269","d1 | invisible | q4","1719431407137","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"270","d1 | invisible | q3","1719431417254","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"271","d1 | hover | q2","1719431403363","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"272","d1 | hover | text","1719431393827","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"273","d1 | hover | q2","1719431449119","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"274","d1 | visible | q1","1719431402837","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"275","d1 | invisible | q5","1719431405771","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"276","d1 | invisible | text","1719431414921","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"277","d1 | hover | text","1719431399608","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"278","d1 | invisible | q6","1719431405737","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"279","d1 | visible | q1","1719431405804","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"280","d1 | visible | q2","1719431421138","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"281","d1 | leave | q1","1719431403363","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"282","d1 | leave | q2","1719431449738","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"283","d1 | leave | text","1719431390070","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"284","d1 | invisible | q1","1719431400688","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"285","d1 | invisible | q1","1719431393387","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"286","d1 | invisible | text","1719431421205","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"287","d1 | invisible | q1","1719431417371","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"288","d1 | invisible | q2","1719431417321","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"289","d1 | invisible | q1","1719431414538","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"290","d1 | hover | text","1719431398219","cGlsb3RfcGFydGVjaXBhbnRlXzQ="
"291","d2 | invisible | q4","1719431396950","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"292","d2 | leave | q1","1719431448052","cGlsb3RfcGFydGVjaXBhbnRlXzE="
"293","d2 | hover | q2","1719431418483","cGlsb3RfcGFydGVjaXBhbnRlXzE="
